FOOD NAME,SCIENTIFIC NAME,GROUP,SUB GROUP
"Sheep (Mutton, Lamb)",Ovis aries,Animal foods,Ovis
Sheepshead,Archosargus probatocephalus,Aquatic foods,Fishes
Hedge mustard,Sisymbrium,Herbs and Spices,Other seeds
Skipjack tuna,Katsuwonus pelamis,Aquatic foods,Fishes
Snapper,Lutjanidae,Aquatic foods,Fishes
Soursop,Annona muricata,Fruits,Tropical fruits
Spelt,Triticum spelta,Cereals and cereal products,Cereals
Spirulina,Spirulina,Aquatic foods,Seaweed
Squab,Columba,Animal foods,Poultry
Squirrel,Sciuridae,Animal foods,Rodents
Strawberry guava,Psidium cattleianum,Fruits,Berries
Greater sturgeon,Acipenser,Aquatic foods,Fishes
White sucker,Catostomus commersonii,Aquatic foods,Fishes
Sugar apple,Annona squamosa,Fruits,Tropical fruits
Pumpkinseed sunfish,Lepomis gibbosus,Aquatic foods,Fishes
Swordfish,Xiphias gladius,Aquatic foods,Fishes
Taro,Colocasia esculenta,Vegetables,Root vegetables
Teff,Eragrostis tef,Herbs and Spices,Herbs
Tilefish,Lopholatilus chamaeleonticeps,Aquatic foods,Fishes
Mexican groundcherry,Physalis philadelphica var. immaculata,Vegetables,Fruit vegetables
Towel gourd,Luffa aegyptiaca,Gourds,Gourds
"Salmonidae (Salmon, Trout)",Salmonidae,Aquatic foods,Fishes
Turkey,Meleagris gallopavo,Animal foods,Poultry
"Cattle (Beef, Veal)",Bos taurus,Animal foods,Bovines
Walleye,Sander vitreus,Aquatic foods,Fishes
Alaska pollock,Theragra chalcogramma,Aquatic foods,Fishes
Wasabi,Wasabia japonica,Herbs and Spices,Spices
Wax gourd,Benincasa hispida,Gourds,Gourds
Whelk,Buccinidae,Aquatic foods,Mollusks
Coalfish pollock,Pollachius virens,Aquatic foods,Fishes
Broad whitefish,Coregonus nasus,Aquatic foods,Fishes
Whitefish,Coregonus,Aquatic foods,Fishes
Whiting,Merlangius merlangus,Aquatic foods,Fishes
Wild rice,Zizania,Cereals and cereal products,Cereals
Tea leaf willow,Salix pulchra,Herbs and Spices,Herbs
Winged bean,Psophocarpus tetragonolobus,Pulses,Beans
Yam,Dioscorea,Vegetables,Tubers
Jicama,Pachyrhizus erosus,Vegetables,Root vegetables
Yautia,Xanthosoma sagittifolium,Vegetables,Leaf vegetables
Yellowfin tuna,Thunnus albacares,Aquatic foods,Fishes
Yellowtail amberjack,Seriola lalandi,Aquatic foods,Fishes
Pollock,Pollachius,Aquatic foods,Fishes
Albacore tuna,Thunnus alalunga,Aquatic foods,Fishes
Gadus (Common cod),Gadus,Aquatic foods,Fishes
Atlantic halibut,Hippoglossus,Aquatic foods,Fishes
Pacific halibut,Hippoglossus stenolepis,Aquatic foods,Fishes
Pacific salmon,Oncorhynchus,Aquatic foods,Fishes
Smelt,Osmeridae,Aquatic foods,Fishes
"Clupeinae (Herring, Sardine, Sprat)",Clupeinae,Aquatic foods,Fishes
Spiny lobster,Palinuridae,Aquatic foods,Crustaceans
Snow crab,Chionoecetes opilio,Aquatic foods,Crustaceans
Black-eyed pea,Vigna unguiculata ssp. unguiculata,Pulses,Peas
Deer,Cervidae,Animal foods,Venison
Macadamia nut,Macadamia,Nuts,Nuts
Percoidei (Bass and others),Percoidei,Aquatic foods,Fishes
Perciformes (Perch-like fishes),Perciformes,Aquatic foods,Fishes
Arctic ground squirrel,Urocitellus parryii,Animal foods,Rodents
Rabbit,Leporidae,Animal foods,Lagomorphs
Domestic goat,Capra aegagrus hircus,Animal foods,Caprae
Beefalo,Bos taurus X Bison bison,Animal foods,Bovines
Antelope,Artiodactyla,Animal foods,Venison
"Bivalvia (Clam, Mussel, Oyster)",Bivalvia,Aquatic foods,Mollusks
Squid,Teuthida,Aquatic foods,Mollusks
Shrimp,Caridea,Aquatic foods,Crustaceans
Crayfish,Astacidea,Aquatic foods,Crustaceans
Flatfish,Pleuronectiformes,Aquatic foods,Fishes
"Domestic pig (Piglet, Pork)",Sus scrofa domestica,Animal foods,Swine
Walrus,Odobenus rosmarus,Aquatic foods,Pinnipeds
Alaska wild rhubarb,Polygonum alpinum,Vegetables,Stalk vegetables
Oriental wheat,Triticum turanicum,Cereals and cereal products,Cereals
Yardlong bean,Vigna unguiculata ssp. sesquipedalis,Pulses,Peas
Great horned owl,Bubo virginianus,Animal foods,Poultry
Quail,Phasianidae,Animal foods,Poultry
Boysenberry,Rubus ursinus X idaeus,Fruits,Berries
Persian lime,Citrus latifolia,Fruits,Citrus
Feijoa,Feijoa sellowiana,Fruits,Tropical fruits
Rowal,Pangium edule,Herbs and Spices,Other seeds
Jew's ear,Auricularia auricula-judae,Vegetables,Mushrooms
Common mushroom,Agaricus bisporus,Vegetables,Mushrooms
Shiitake,Lentinus edodes,Vegetables,Mushrooms
Purple laver,Porphyra laciniata,Aquatic foods,Seaweed
Wakame,Undaria pinnatifida,Aquatic foods,Seaweed
Enokitake,Flammulina velutipes,Vegetables,Mushrooms
Epazote,Dysphania ambrosioides,Herbs and Spices,Herbs
Oyster mushroom,Pleurotus ostreatus,Vegetables,Mushrooms
Cloud ear fungus,Auricularia polytricha,Vegetables,Mushrooms
Maitake,Grifola frondosa,Vegetables,Mushrooms
Ostrich fern,Matteuccia struthiopteris,Vegetables,Leaf vegetables
Spot croaker,Leiostomus xanthurus,Aquatic foods,Fishes
Sourdock,Rumex articus,Herbs and Spices,Herbs
Tinda,Citrullus lanatus var. fistulosus,Gourds,Gourds
Atlantic menhaden,Brevoortia tyrannus,Aquatic foods,Fishes
Wheat,Triticum,Cereals and cereal products,Cereals
Common chokecherry,Prunus virginiana,Fruits,Drupes
Agave,Agave,Vegetables,Other vegetables
Narrowleaf cattail,Typha angustifolia,Vegetables,Other vegetables
Jellyfish,Scyphozoa,Aquatic foods,Other aquatic foods
Anchovy,Engraulidae,Aquatic foods,Fishes
Blue whiting,Micromesistius poutassou,Aquatic foods,Fishes
Carp bream,Abramis brama,Aquatic foods,Fishes
Chanterelle,Cantharellus cibarius,Vegetables,Mushrooms
Sturgeon,Acipenseridae,Aquatic foods,Fishes
Charr,Salvelinus,Aquatic foods,Fishes
Cinnamon,Cinnamomum,Herbs and Spices,Spices
Crab,Brachyura,Aquatic foods,Crustaceans
Common dab,Limanda limanda,Aquatic foods,Fishes
Spiny dogfish,Squalus acanthias,Aquatic foods,Fishes
"Anatidae (Duck, Goose, Swan)",Anatidae,Animal foods,Poultry
Anguilliformes (Eel),Anguilliformes,Aquatic foods,Fishes
True frog,Ranidae,Aquatic foods,Amphibians
Garfish,Belone belone,Aquatic foods,Fishes
"Gadiformes (Cod, Hake)",Gadiformes,Aquatic foods,Fishes
Mountain hare,Lepus timidus,Animal foods,Lagomorphs
Lake trout,Salvelinus namaycush,Aquatic foods,Fishes
Lemon sole,Microstomus kitt,Aquatic foods,Fishes
Clawed lobster,Nephropidae,Aquatic foods,Crustaceans
Lumpsucker,Cyclopteridae,Aquatic foods,Fishes
"Scombridae (Bonito, Mackerel, Tuna)",Scombridae,Aquatic foods,Fishes
Marine mussel,Mytilidae,Aquatic foods,Mollusks
Norway haddock,Sebastes viviparus,Aquatic foods,Fishes
Norway lobster,Nephrops norvegicus,Aquatic foods,Crustaceans
Norway pout,Trisopterus esmarkii,Aquatic foods,Fishes
Oil palm,Elaeis,Herbs and Spices,Oilseed crops
True oyster,Ostreidae,Aquatic foods,Mollusks
Sago palm,Metroxylon sagu,Herbs and Spices,Oilseed crops
Persimmon,Diospyros,Fruits,Tropical fruits
Pikeperch,Sander lucioperca,Aquatic foods,Fishes
"Pleuronectidae (Dab, Halibut, Plaice)",Pleuronectidae,Aquatic foods,Fishes
Rock ptarmigan,Lagopus muta,Animal foods,Poultry
Pacific ocean perch,Sebastes alutus,Aquatic foods,Fishes
Black salsify,Scorzonera hispanica,Vegetables,Root vegetables
True seal,Phocidae,Aquatic foods,Pinnipeds
Red algae,Rhodophyta,Aquatic foods,Seaweed
Kombu,Saccharina japonica,Aquatic foods,Seaweed
Snail,Gastropoda,Aquatic foods,Mollusks
True sole,Soleidae,Aquatic foods,Fishes
Catfish,Siluriformes,Aquatic foods,Fishes
Thistle,Cirsium,Vegetables,Root vegetables
Thunnus (Common tuna),Thunnus,Aquatic foods,Fishes
Walnut,Juglans,Nuts,Nuts
"Cetacea (Dolphin, Porpoise, Whale)",Cetacea,Aquatic foods,Cetaceans
"Columbidae (Dove, Pigeon)",Columbidae,Animal foods,Poultry
Conch,Strombidae,Aquatic foods,Mollusks
Grape wine,Unclassified,Beverages,Fermented beverages
Berry wine,Unclassified,Beverages,Fermented beverages
Other wine,Unclassified,Beverages,Fermented beverages
Apple cider,Unclassified,Beverages,Fermented beverages
Liquor,Unclassified,Beverages,Distilled beverages
Cheese,Unclassified,Milk and milk products,Fermented milk products
Milk (Cow),Unclassified,Milk and milk products,Unfermented milks
Eggs,Unclassified,Eggs,Eggs
Yogurt,Unclassified,Milk and milk products,Fermented milk products
Bean,Unclassified,Pulses,Beans
Vodka,Unclassified,Beverages,Distilled beverages
Whisky,Unclassified,Beverages,Distilled beverages
Ice cream,Unclassified,Confectioneries,Frozen desserts
Gin,Unclassified,Beverages,Distilled beverages
Honey,Unclassified,Confectioneries,Other confectioneries
Liquorice,Unclassified,Confectioneries,Candies
Vinegar,Unclassified,Baking goods,Seasonings
Rum,Unclassified,Beverages,Distilled beverages
Port wine,Unclassified,Beverages,Fortified wines
Vermouth,Unclassified,Beverages,Fortified wines
Sherry,Unclassified,Beverages,Fortified wines
Madeira wine,Unclassified,Beverages,Fortified wines
Nougat,Unclassified,Confectioneries,Other confectioneries
Toffee,Unclassified,Confectioneries,Other confectioneries
Cake,Unclassified,Confectioneries,Desserts
Pizza,Unclassified,Dishes,Other dishes
Ymer,Unclassified,Milk and milk products,Fermented milk products
Other snack food,Unclassified,Snack foods,Snack foods
Crisp bread,Unclassified,Cereals and cereal products,Flat breads
Pastry,Unclassified,Confectioneries,Desserts
Dragée,Unclassified,Confectioneries,Candies
Chewing gum,Unclassified,Confectioneries,Candies
Marzipan,Unclassified,Confectioneries,Other confectioneries
Salad dressing,Unclassified,Baking goods,Dressings
Sauce,Unclassified,Baking goods,Sauces
Salt,Unclassified,Baking goods,Seasonings
Butter,Unclassified,Milk and milk products,Other milk products
Butter substitute,Unclassified,Baking goods,Substitutes
Cream,Unclassified,Milk and milk products,Other milk products
Sugar,Unclassified,Baking goods,Sugars
Sausage,Unclassified,Dishes,Ground meat
Meatball,Unclassified,Dishes,Ground meat
Mustard,Unclassified,Baking goods,Condiments
Pate,Unclassified,Dishes,Ground meat
Sugar substitute,Unclassified,Baking goods,Substitutes
Meat bouillon,Unclassified,Baking goods,Baking goods
Other meat product,Unclassified,Animal foods,Meat products
Whey,Unclassified,Milk and milk products,Other milk products
Casein,Unclassified,Milk and milk products,Other milk products
Fruit preserve,Unclassified,Fruits,Fruit products
Leavening agent,Unclassified,Baking goods,Baking goods
Marshmallow,Unclassified,Confectioneries,Candies
Gelatin,Unclassified,Baking goods,Baking goods
Water,Unclassified,Beverages,Waters
Other fish product,Unclassified,Aquatic foods,Fish products
Milk (Human),Unclassified,Milk and milk products,Unfermented milks
Other beverage,Unclassified,Beverages,Other beverages
Baby food,Unclassified,Baby foods,Baby foods
Dumpling,Unclassified,Dishes,Other dishes
Soup,Unclassified,Dishes,Other dishes
Other vegetable product,Unclassified,Vegetables,Vegetable products
Unclassified food or beverage,Unclassified,Unclassified,Unclassified
Syrup,Unclassified,Baking goods,Baking goods
Tallow,Unclassified,Fats and oils,Animal fats
Remoulade,Unclassified,Baking goods,Condiments
Chocolate spread,Unclassified,Confectioneries,Spreads
Fruit gum,Unclassified,Confectioneries,Candies
Curry powder,Unclassified,Herbs and Spices,Herb and spice mixtures
Other candy,Unclassified,Confectioneries,Candies
Meringue,Unclassified,Confectioneries,Other confectioneries
Lard,Unclassified,Fats and oils,Animal fats
Other animal fat,Unclassified,Fats and oils,Animal fats
Other cocoa product,Unclassified,Cocoa and cocoa products,Cocoa products
Cocoa butter,Unclassified,Cocoa and cocoa products,Cocoa products
Cocoa powder,Unclassified,Cocoa and cocoa products,Cocoa products
Cocoa liquor,Unclassified,Cocoa and cocoa products,Cocoa products
Chocolate,Unclassified,Cocoa and cocoa products,Cocoa products
Hot chocolate,Unclassified,Cocoa and cocoa products,Cocoa products
Dried milk,Unclassified,Milk and milk products,Other milk products
Milk (Other mammals),Unclassified,Milk and milk products,Unfermented milks
Kefir,Unclassified,Milk and milk products,Fermented milk products
Buttermilk,Unclassified,Milk and milk products,Fermented milk products
Other fermented milk,Unclassified,Milk and milk products,Fermented milk products
Soy sauce,Unclassified,Soy,Soy products
Miso,Unclassified,Soy,Soy products
Tofu,Unclassified,Soy,Soy products
Zwieback,Unclassified,Cereals and cereal products,Leavened breads
Roe,Unclassified,Aquatic foods,Roe
Cichlidae (Tilapia),Cichlidae,Aquatic foods,Fishes
Icing,Unclassified,Confectioneries,Other confectioneries
Snack bar,Unclassified,Snack foods,Snack foods
Green turtle,Chelonia mydas,Aquatic foods,Other aquatic foods
Energy drink,Unclassified,Beverages,Nutritional beverages
Burrito,Unclassified,Dishes,Tex-Mex cuisine
Hamburger,Unclassified,Dishes,Sandwiches
Baked beans,Unclassified,Dishes,Other dishes
Chili,Unclassified,Dishes,Tex-Mex cuisine
Taco,Unclassified,Dishes,Tex-Mex cuisine
Tortilla,Unclassified,Cereals and cereal products,Flat breads
Nachos,Unclassified,Dishes,Tex-Mex cuisine
Processed cheese,Unclassified,Milk and milk products,Fermented milk products
Salad,Unclassified,Dishes,Other dishes
Cream substitute,Unclassified,Baking goods,Substitutes
Dulce de leche,Unclassified,Confectioneries,Spreads
Topping,Unclassified,Baking goods,Baking goods
Sweet custard,Unclassified,Confectioneries,Milk desserts
Egg roll,Unclassified,Dishes,Asian cuisine
Heart of palm,Unclassified,Vegetables,Other vegetables
Popcorn,Unclassified,Snack foods,Snack foods
Potato chip,Unclassified,Snack foods,Snack foods
Tortilla chip,Unclassified,Snack foods,Snack foods
Corn chip,Unclassified,Snack foods,Snack foods
Hibiscus tea,Hibiscus sabbariffa,Teas,Herbal teas
Stew,Unclassified,Dishes,Other dishes
Gelatin dessert,Unclassified,Confectioneries,Desserts
Junket,Unclassified,Confectioneries,Milk desserts
Falafel,Unclassified,Dishes,Other dishes
Frybread,Unclassified,Dishes,Other dishes
Other frozen dessert,Unclassified,Confectioneries,Frozen desserts
Lasagna,Unclassified,Dishes,Pasta dishes
Morchella (Morel),Morchellaceae,Vegetables,Mushrooms
Pancake,Unclassified,Dishes,Other dishes
Pectin,Unclassified,Baking goods,Baking goods
Pudding,Unclassified,Confectioneries,Desserts
Waffle,Unclassified,Dishes,Other dishes
Soy milk,Unclassified,Soy,Soy products
Meatloaf,Unclassified,Dishes,Ground meat
Sake,Unclassified,Beverages,Fermented beverages
Cocktail,Unclassified,Beverages,Alcoholic beverages
Couscous,Unclassified,Dishes,Berber cuisine
Bulgur,Unclassified,Cereals and cereal products,Cereal products
Coffee substitute,Unclassified,Baking goods,Substitutes
Coffee mocha,Unclassified,Coffee and coffee products,Coffee products
Chimichanga,Unclassified,Dishes,Mexican cuisine
Semolina,Unclassified,Cereals and cereal products,Cereal products
Tapioca pearl,Unclassified,Baking goods,Baking goods
Tostada,Unclassified,Dishes,Mexican cuisine
Quesadilla,Unclassified,Dishes,Mexican cuisine
Baked potato,Unclassified,Dishes,Potato dishes
Hot dog,Unclassified,Dishes,Sandwiches
Spread,Unclassified,Baking goods,Baking goods
Enchilada,Unclassified,Dishes,Mexican cuisine
Egg substitute,Unclassified,Baking goods,Substitutes
Nutritional drink,Unclassified,Beverages,Nutritional beverages
Other sandwich,Unclassified,Dishes,Sandwiches
Ketchup,Unclassified,Baking goods,Condiments
Breakfast sandwich,Unclassified,Dishes,Sandwiches
Adobo,Unclassified,Baking goods,Seasonings
Macaroni and cheese,Unclassified,Dishes,Pasta dishes
Butterfat,Unclassified,Milk and milk products,Other milk products
Horned melon,Cucumis metuliferus,Gourds,Gourds
Hushpuppy,Unclassified,Dishes,American cuisine
Fruit juice,Unclassified,Beverages,Other beverages
Relish,Unclassified,Baking goods,Condiments
Other fruit product,Unclassified,Fruits,Fruit products
Fruit salad,Unclassified,Fruits,Fruit products
Soy yogurt,Unclassified,Soy,Soy products
Vegetarian food,Unclassified,Dishes,Other dishes
Veggie burger,Unclassified,Dishes,Sandwiches
Cold cut,Unclassified,Dishes,Ground meat
Mixed nuts,Unclassified,Nuts,Nuts
Canola,Unclassified,Herbs and Spices,Oilseed crops
Babassu palm,Attalea speciosa,Herbs and Spices,Oilseed crops
Cupuaçu,Theobroma grandiflorum,Herbs and Spices,Oilseed crops
Shea tree,Vitellaria paradoxa,Herbs and Spices,Oilseed crops
Oil-seed Camellia,Camellia oleifera,Herbs and Spices,Oilseed crops
Ucuhuba,Virola surinamensis,Herbs and Spices,Oilseed crops
Phyllo dough,Unclassified,Baking goods,Baking goods
Cooking oil,Unclassified,Baking goods,Baking goods
Pie crust,Unclassified,Baking goods,Wrappers
Pie filling,Unclassified,Baking goods,Baking goods
Pie,Unclassified,Confectioneries,Desserts
Shortening,Unclassified,Fats and oils,Vegetable fats
Soy cream,Unclassified,Soy,Soy products
Ice cream cone,Unclassified,Baking goods,Wrappers
Molasses,Unclassified,Baking goods,Baking goods
Cracker,Unclassified,Snack foods,Snack foods
Nance,Byrsonima crassifolia,Fruits,Tropical fruits
Naranjilla,Solanum quitoense,Fruits,Tropical fruits
Natto,Unclassified,Soy,Soy products
Ravioli,Unclassified,Dishes,Pasta dishes
Scrapple,Unclassified,Dishes,American cuisine
Other pasta dish,Unclassified,Dishes,Pasta dishes
Succotash,Unclassified,Dishes,American cuisine
Tamale,Unclassified,Dishes,Latin American cuisine
Rice cake,Unclassified,Dishes,Asian cuisine
Tree fern,Cyathea,Vegetables,Other vegetables
Evaporated milk,Unclassified,Milk and milk products,Other milk products
Flour,Unclassified,Cereals and cereal products,Cereal products
Akutaq,Unclassified,Confectioneries,Desserts
Dough,Unclassified,Cereals and cereal products,Doughs
Pita bread,Unclassified,Cereals and cereal products,Flat breads
Focaccia,Unclassified,Cereals and cereal products,Flat breads
Bagel,Unclassified,Cereals and cereal products,Leavened breads
Other bread product,Unclassified,Cereals and cereal products,Bread products
Piki bread,Unclassified,Cereals and cereal products,Flat breads
French toast,Unclassified,Cereals and cereal products,Leavened breads
Wheat bread,Unclassified,Cereals and cereal products,Leavened breads
Rye bread,Unclassified,Cereals and cereal products,Leavened breads
Oat bread,Unclassified,Cereals and cereal products,Leavened breads
Potato bread,Unclassified,Cereals and cereal products,Other breads
Cornbread,Unclassified,Cereals and cereal products,Flat breads
Corn grits,Unclassified,Cereals and cereal products,Cereal products
Multigrain bread,Unclassified,Cereals and cereal products,Leavened breads
Rice bread,Unclassified,Cereals and cereal products,Leavened breads
Pan dulce,Unclassified,Cereals and cereal products,Leavened breads
Raisin bread,Unclassified,Cereals and cereal products,Sweet breads
Wonton wrapper,Unclassified,Baking goods,Wrappers
Trail mix,Unclassified,Snack foods,Snack foods
Greenthread tea,Thelesperma,Teas,Herbal teas
Fruit-flavor drink,Unclassified,Beverages,Other beverages
Vegetable juice,Unclassified,Beverages,Other beverages
Horchata,Unclassified,Beverages,Other beverages
Soft drink,Unclassified,Beverages,Other beverages
Frozen yogurt,Unclassified,Confectioneries,Frozen desserts
Milkshake,Unclassified,Confectioneries,Frozen desserts
Chocolate mousse,Unclassified,Confectioneries,Desserts
Dripping,Unclassified,Fats and oils,Animal fats
Pupusa,Unclassified,Dishes,Latin American cuisine
Empanada,Unclassified,Dishes,Latin American cuisine
Arepa,Unclassified,Dishes,Latin American cuisine
Ascidians,Ascidiacea,Aquatic foods,Other aquatic foods
Gefilte fish,Unclassified,Dishes,Jewish cuisine
Yellow pond-lily,Nuphar lutea,Herbs and Spices,Herbs
Fish burger,Unclassified,Dishes,Sandwiches
Other dish,Unclassified,Dishes,Other dishes
Pot pie,Unclassified,Dishes,Other dishes
Stuffing,Unclassified,Baking goods,Baking goods
Edible shell,Unclassified,Baking goods,Wrappers
Fudge,Unclassified,Confectioneries,Candies
Candy bar,Unclassified,Confectioneries,Candies
Condensed milk,Unclassified,Milk and milk products,Other milk products
Margarine,Unclassified,Fats and oils,Vegetable fats
Margarine-like spread,Unclassified,Fats and oils,Vegetable fats
Hummus,Unclassified,Dishes,Levantine cuisine
Potato puffs,Unclassified,Dishes,Potato dishes
Potato gratin,Unclassified,Dishes,Potato dishes
Milk substitute,Unclassified,Baking goods,Substitutes
Pepper (C. pubescens),Capsicum pubescens,Vegetables,Fruit vegetables
Soft-necked garlic,Allium sativum L. var. sativum,Herbs and Spices,Herbs
Cabbage,Brassica oleracea var. capitata,Vegetables,Cabbages
Chinese bayberry,Myrica rubra,Fruits,Berries
Mushrooms,Unclassified,Vegetables,Mushrooms
Alcoholic beverages,Unclassified,Beverages,Alcoholic beverages
Onion-family vegetables,Unclassified,Vegetables,Onion-family vegetables
Pomes,Unclassified,Fruits,Pomes
Brassicas,Unclassified,Vegetables,Brassicas
Cereals and cereal products,Unclassified,Cereals and cereal products,Cereals and cereal products
Citrus,Unclassified,Fruits,Citrus
Cocoa and cocoa products,Unclassified,Cocoa and cocoa products,Cocoa and cocoa products
Coffee and coffee products,Unclassified,Coffee and coffee products,Coffee and coffee products
Crustaceans,Unclassified,Aquatic foods,Crustaceans
Milk and milk products,Unclassified,Milk and milk products,Milk and milk products
Fats and oils,Unclassified,Fats and oils,Fats and oils
Fishes,Unclassified,Aquatic foods,Fishes
Herbs and Spices,Unclassified,Herbs and Spices,Herbs and Spices
Pulses,Unclassified,Pulses,Pulses
Animal foods,Unclassified,Animal foods,Animal foods
Mollusks,Unclassified,Aquatic foods,Mollusks
Nuts,Unclassified,Nuts,Nuts
Beverages,Unclassified,Beverages,Beverages
Fruits,Unclassified,Fruits,Fruits
Green vegetables,Unclassified,Vegetables,Green vegetables
Root vegetables,Unclassified,Vegetables,Root vegetables
Sunburst squash (pattypan squash),Cucurbita pepo var. clypeata,Gourds,Gourds
Green zucchini,Cucurbita pepo,Gourds,Gourds
Yellow zucchini,Cucurbita pepo var. cylindrica,Gourds,Gourds
Green bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Yellow bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Orange bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Red bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Italian sweet red pepper,Capsicum annuum,Vegetables,Fruit vegetables
Yellow wax bean,Phaseolus vulgaris,Pulses,Beans
Green bean,Phaseolus vulgaris,Pulses,Beans
Saskatoon berry,Amelanchier alnifolia,Fruits,Berries
Nanking cherry,Prunus tomentosa,Fruits,Berries
Japanese pumpkin,Cucurbita maxima,Gourds,Gourds
White cabbage,Brassica oleracea L. var. capitata L. f. alba DC.,Vegetables,Cabbages
Romaine lettuce,Lactuca sativa L. var. longifolia,Vegetables,Leaf vegetables
"Cow milk, pasteurized, vitamin A + D added, 0% fat",Unclassified,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin A + D added, 1% fat",Unclassified,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin A + D added, 2% fat",Unclassified,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin D added, 3.25% fat",Unclassified,Milk and milk products,Unfermented milks
